,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker,petitioner_wins
10,1955.2,Corn Products Refining Company v. Commissioner of Internal Revenue,20,-448311600.0,-446580000.0,,Corn Products Refining Company,Petitioner,Commissioner of Internal Revenue,Respondent,,majority opinion,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
11,1955.21,United States v. Twin City Power Company,21,-448311600.0,-439927200.0,,United States,Petitioner,Twin City Power Company,Respondent,United States,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,minority,,,,,,,,,,1
12,1955.22,Steiner v. Mitchell,22,-445802400.0,-439322400.0,,Steiner,Petitioner,Mitchell,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
13,1955.26,"United States v. Anderson, Clayton & Company",26,-448138800.0,-446580000.0,,United States,Petitioner,"Anderson, Clayton & Company",Respondent,,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,,,,majority,majority,,,,,,,,,,,,,,majority,minority,majority,majority,,,,,,,,,,0
14,1955.27,"National Labor Relations Board v. Warren Company, Inc.",27,-448138800.0,-443556000.0,,National Labor Relations Board,Petitioner,"Warren Company, Inc.",Respondent,National Labor Relations Board,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
15,1955.281,United States v. Ryan,281,-440272800.0,-436903200.0,,United States,Petitioner,Ryan,Respondent,United States,majority opinion,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
16,1955.3,Rea v. United States,30,-446320800.0,-440532000.0,,Rea,Petitioner,United States,Respondent,Rea,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,minority,minority,minority,,,,,,,,,,1
17,1955.33,"Local Union No. 25 of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America v. New York, New Haven & Hartford Railroad Company",33,-446320800.0,-441136800.0,,"Local Union No. 25 of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America",Petitioner,"New York, New Haven & Hartford Railroad Company",Respondent,"Local Union No. 25 of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America",majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
18,1955.34,"Sears, Roebuck & Company v. Mackey",34,-436816800.0,-427834800.0,,"Sears, Roebuck & Company",Petitioner,Mackey,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
19,1955.351,Archawski v. Hanioti,351,-436298400.0,-433274400.0,,Archawski,Petitioner,Hanioti,Respondent,Archawski,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
20,1955.3729999999998,Commissioner of Internal Revenue v. LoBue,373,-436212000.0,-429044400.0,,Commissioner of Internal Revenue,Petitioner,LoBue,Respondent,Commissioner of Internal Revenue,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,minority,majority,majority,,,,,,,,,,1
21,1955.3829999999998,General Box Company v. United States,383,-434311200.0,-430858800.0,,General Box Company,Petitioner,United States,Respondent,,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,minority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
22,1955.44,Mitchell v. Myrtle Grove Packing Co.,44,-446320800.0,-445975200.0,,"James P. Mitchell, Secretary of Labor",Petitioner,Myrtle Grove Packing Co.,Respondent,"James P. Mitchell, Secretary of Labor",per curiam,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
23,1955.4479999999999,"United States v. McKesson & Robbins, Inc.",448,-431463600.0,-427834800.0,,United States,Appellant,"McKesson & Robbins, Inc.",Appellee,United States,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,majority,,,,,,,,,,1
24,1955.45,Pennsylvania ex rel. Herman v. Claudy,45,-445975200.0,-441136800.0,,Pennsylvania ex rel. Herman,Petitioner,Claudy,Respondent,Pennsylvania ex rel. Herman,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
25,1955.46,"Rex Trailer Company, Inc. v. United States",46,-444160800.0,-441136800.0,,"Rex Trailer Company, Inc.",Petitioner,United States,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
26,1955.469,Petrowski v. Hawkeye-Security Insurance Company,469,-436125600.0,-434484000.0,,Petrowski,Petitioner,Hawkeye-Security Insurance Company,Respondent,Petrowski,per curiam,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
